Loading raw data - Data: (9166, 120, 6) Labels: (9166, 120, 3)
Before normalization - Data shape: (9166, 120, 6) [-6.53186037e+00  1.09563701e+00  7.50957234e+00 -9.42993150e-03
 -8.63647463e-03 -1.58691408e-03]
After normalization - Data: (9166, 120, 6) Labels: (9166, 120, 3) [-0.66651636  0.1117997   0.76628289 -0.00942993 -0.00863647 -0.00158691]

Normalized Samples
[-0.61816811  0.1017263   0.81249097 -0.00270081  0.00247192 -0.00222778]
[-0.61558128  0.10407023  0.81467703 -0.00280762  0.00930786 -0.00340271]
[-0.61699007  0.10407024  0.81696024  0.00296021  0.01091003 -0.00820923]

Training Configurations:
INPUT_LEN: 85
PREDICT_LEN: 5
TRAIN_RATE: 0.8
BATCH_SIZE: 32
LEARNING_RATE: 0.0001
INITIAL_REMOVE: 20
WINDOW_SIZE: 5
THRESHOLD: 0.0275
MIN_ACTIVE: 5
Number of sequences: 9166
Min length: 5
Max length: 100
Mean length: 96.89
Median length: 100.0
Filtered data shapes:
Sequence 0: (100, 6)
Sequence 1: (100, 6)
Sequence 2: (100, 6)
Sequence 3: (100, 6)
Sequence 4: (100, 6)
Total NSP pairs: 91078
Input: torch.Size([85, 6]), Target: torch.Size([5, 6]), Input Pos: torch.Size([85]), Target Pos: torch.Size([5])
Input: torch.Size([85, 6]), Target: torch.Size([5, 6]), Input Pos: torch.Size([85]), Target Pos: torch.Size([5])
Input: torch.Size([85, 6]), Target: torch.Size([5, 6]), Input Pos: torch.Size([85]), Target Pos: torch.Size([5])
Total sequences: 9166
Total NSP pairs: 91078
Average NSP pairs per sequence: 9.94
Train NSP pairs: 72862
Val NSP pairs: 9108
Test NSP pairs: 9108
Epoch 140/200, Train Loss: 0.0034, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 141/200, Train Loss: 0.0033, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 142/200, Train Loss: 0.0033, Val Loss: 0.0099, Test Loss: 0.0094
Epoch 143/200, Train Loss: 0.0033, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 144/200, Train Loss: 0.0034, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 145/200, Train Loss: 0.0032, Val Loss: 0.0099, Test Loss: 0.0094
Epoch 146/200, Train Loss: 0.0033, Val Loss: 0.0098, Test Loss: 0.0094
Epoch 147/200, Train Loss: 0.0032, Val Loss: 0.0098, Test Loss: 0.0094
Epoch 148/200, Train Loss: 0.0032, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 149/200, Train Loss: 0.0032, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 150/200, Train Loss: 0.0032, Val Loss: 0.0098, Test Loss: 0.0093
Epoch 151/200, Train Loss: 0.0033, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 152/200, Train Loss: 0.0032, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 153/200, Train Loss: 0.0032, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 154/200, Train Loss: 0.0032, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 155/200, Train Loss: 0.0032, Val Loss: 0.0096, Test Loss: 0.0094
Epoch 156/200, Train Loss: 0.0032, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 157/200, Train Loss: 0.0032, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 158/200, Train Loss: 0.0032, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 159/200, Train Loss: 0.0032, Val Loss: 0.0098, Test Loss: 0.0093
Epoch 160/200, Train Loss: 0.0032, Val Loss: 0.0096, Test Loss: 0.0092
Epoch 161/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 162/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 163/200, Train Loss: 0.0031, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 164/200, Train Loss: 0.0031, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 165/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0092
Epoch 166/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 167/200, Train Loss: 0.0031, Val Loss: 0.0097, Test Loss: 0.0092
Epoch 168/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 169/200, Train Loss: 0.0031, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 170/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0094
Epoch 171/200, Train Loss: 0.0031, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 172/200, Train Loss: 0.0031, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 173/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 174/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0094
Epoch 175/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 176/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 177/200, Train Loss: 0.0031, Val Loss: 0.0096, Test Loss: 0.0094
Epoch 178/200, Train Loss: 0.0030, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 179/200, Train Loss: 0.0030, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 180/200, Train Loss: 0.0030, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 181/200, Train Loss: 0.0030, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 182/200, Train Loss: 0.0030, Val Loss: 0.0097, Test Loss: 0.0092
Epoch 183/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0092
Epoch 184/200, Train Loss: 0.0030, Val Loss: 0.0098, Test Loss: 0.0096
Epoch 185/200, Train Loss: 0.0030, Val Loss: 0.0097, Test Loss: 0.0093
Epoch 186/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 187/200, Train Loss: 0.0030, Val Loss: 0.0097, Test Loss: 0.0094
Epoch 188/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 189/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0094
Epoch 190/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 191/200, Train Loss: 0.0029, Val Loss: 0.0096, Test Loss: 0.0094
Epoch 192/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0092
Epoch 193/200, Train Loss: 0.0029, Val Loss: 0.0095, Test Loss: 0.0093
Epoch 194/200, Train Loss: 0.0029, Val Loss: 0.0097, Test Loss: 0.0095
Epoch 195/200, Train Loss: 0.0030, Val Loss: 0.0096, Test Loss: 0.0093
Epoch 196/200, Train Loss: 0.0029, Val Loss: 0.0097, Test Loss: 0.0092
Epoch 197/200, Train Loss: 0.0029, Val Loss: 0.0096, Test Loss: 0.0093
